phrase,target
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors ,neutral
 the brokers ' ratings on the stock differ ,neutral
2008,neutral
The value of the deal was not disclosed ,neutral
000 market value ,neutral
 will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group ,neutral
Investment management and investment advisory services are the company 's sole line of business ,neutral
 of which EUR 13.5 mn was booked in December 2008 ,neutral
000 tonnes of pulp ,neutral
 Elcoteq Finland Oy and Elcoteq Design Center Oy ,neutral
 meetings and filed comments on the issues of greatest importance to the competitive sector of our industry ,neutral
 '' she said ,neutral
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. ,neutral
Technopolis has approximately 130 customer companies in Jyvaskyla ,neutral
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit ,neutral
678.1,neutral
The company will release its 2010 results on 11 February 2011 ,neutral
 1000 and 1200 -ï¿½l volume capacities ,neutral
 and Okmetic 's share of the investments will be worth around 2.7 million ,neutral
8 million ,neutral
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.39,neutral
 the company expected its 2008 financial performance to remain at the same level as in 2008 ,neutral
 the company said ,neutral
 Stefan said ,neutral
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market ,neutral
 air and sea ,neutral
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum ,neutral
 locations and subsidiaries ,neutral
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management ,neutral
 and surface water drainage systems ,neutral
 a broadband solutions company acquired by Teleste in the spring of 2007 ,neutral
 a government-owned investment group ,neutral
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum ,neutral
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes ,neutral
 with an EBITDA of EUR 51 million ,neutral
 is expressly prohibited without the prior written consent of AFX News ,neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland ,neutral
2007,neutral
 as collated by AFX News from a range of market sources ,neutral
Activities range from the development of natural resources to the retailed marketing of finished products ,neutral
 as well as the Finnish state pension fund VER 0.61 % ,neutral
Why not subscribe to the magazine ,neutral
 and his job in this division will be continued by Marek Hintze ,neutral
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting ,neutral
The EUR17m contract includes both design and construction works ,neutral
We offer our customers solutions based on renewable raw materials ,neutral
000 barrels a day ,neutral
 for example ,neutral
Net investment incom,neutral
 France ) ,neutral
 the measure is above all due to the employment situation ,neutral
`` This could be us ,neutral
Its market share is 6 percent according to AC Nielsen 's 2008 data ,neutral
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 ,neutral
 as well as distribution channel data ,neutral
 surface-treatment and installation of the steel structures ,neutral
 and Scan-Tukka OY ,neutral
000 MW ,neutral
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live ,neutral
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . ',neutral
Raute is listed on the Nordic exchange in Helsinki ,neutral
 BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite ,neutral
 vendors - and their customers - are focused on meeting the deadline ,neutral
 in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila ,neutral
 expandable through the Micro Secure Digital slot ,neutral
 central Sweden ,neutral
 four-door Altima ,neutral
 Latvia and Lithuania ,neutral
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories ,neutral
 the statement says ,neutral
 will be purchased from the City of Forssa ,neutral
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 ,neutral
 said : `` The chambers are pressurized ,neutral
 which then uses the address location to access the appliance control module ,neutral
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi ,neutral
000 TEUs and 7.5 mln tons of general cargo ,neutral
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 ,neutral
 Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agree,neutral
 covering shopping and retail from the sidewalks up ,neutral
`` We could be there ,neutral
 new state-approved Mobile ID enables to cast votes in elections as well ,neutral
The new organization consists of two business units : Charging & Messaging and Finance & Administration ,neutral
 South-Africa and Japan ,neutral
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki ,neutral
 cowboy boots ,neutral
 Germany and Benelux ,neutral
 and Gambro Renal Products ( CEO ) ,neutral
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million ,neutral
The maximum number of new shares to be offered is 22 million ,neutral
 at least the first side casing member being pivotable about a rotation axis ,neutral
 on the other ,neutral
 and operating profit at EUR 6.4 mn ,neutral
The identity of the buyer is not yet known ,neutral
Her present position is the director of Stockmann 's international department stores ,neutral
 and Websense ,neutral
The company website is www.ahlstrom.com ,neutral
The sellers were the founders of the company ,neutral
`` The issues identified by Stonesoft affect a range of content inspection technology ,neutral
Exel wants to serve its industrial customers with individual products ,neutral
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 ,neutral
 and it had net sales of about EUR 70mn in 2007 ,neutral
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities ,neutral
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors ,neutral
 Benefon will launch its Twig device on 20 September 2006 ,neutral
Financing of the project will come mainly from China ,neutral
The figure does not include food exports from Finland ,neutral
2006,neutral
 director of marketing for Precor 's Entertainment & Services Division ,neutral
R&D Loan ) ,neutral
Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 ,neutral
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement ,neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 ,neutral
 as 60 % of the group 's products are made in Poland and the Baltic countries ,neutral
A total of $ 78 million will be invested in the project ,neutral
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system ,neutral
 the company said ,neutral
 and they are not estimated to have an impact on the number of employees ,neutral
 and asset tracking ,neutral
EUR 152.4 mn of this was net interest income ,neutral
 Inc. ,neutral
 hotels and factories for large international customers in different parts of the world ,neutral
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision ,neutral
HK Ruokatalo 's target is to know the consumers ,neutral
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m ,neutral
 '' he wrote ,neutral
 is present in eleven countries ,neutral
 the number of K shares will be 9 540 000 and the number of A shares 26 885 540 ,neutral
 will transfer to CapMan effective no later than September 2008 ,neutral
The agreement is valid for four years ,neutral
The value of the order is about EUR 30mn ,neutral
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis ,neutral
 developed by the U.S. Green Building Council ,neutral
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas ,neutral
The investment would be some EUR5m ,neutral
The value of the contract is about EUR 27mn ,neutral
 strategic and operational factors are considered ,neutral
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) ,neutral
The first of the two project phases is expected to be completed by the end of 2012 ,neutral
The employee negotiations are to address measures needed to adjust the operations to the present production situation ,neutral
 central and Eastern European countries ,neutral
 and time scheduling and procurement services ,neutral
 sharing seventh place on three-under 210 after shooting 71 ,neutral
The value of the multi-year agreement is over EUR 2mn a year ,neutral
2009,neutral
 Nordea Bank Finland Plc and Pohjola Bank Plc. ,neutral
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' ,neutral
The reductions will be concluded by autumn 2010 ,neutral
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program ,neutral
Other details were not provided ,neutral
The combined value of the orders is EUR 45mn ,neutral
 huh ,neutral
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 ,neutral
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy ,neutral
Okmetic has used the furnaces for the contract manufacturing of solar crystals ,neutral
( The acquisition sum has not been disclosed . ,neutral
The invention carries International Patent Publication No. ,neutral
 with a focus on building information modelling of steel and concrete structures from design to construction ,neutral
The company specialises in temporary electrification and heating at construction sites ,neutral
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 ,neutral
Financial terms were n't disclosed ,neutral
 in Russia ,neutral
000 m2 and the project will be constructed in stages ,neutral
The customers will have an access to integrated propeller and gear packages from one source ,neutral
 select which CV to attach and which covering letter is most appropriate for each position ,neutral
 the participants should quote 877417 as conference ID ,neutral
 the company said ,neutral
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia ,neutral
 M-real will own 30 % in Metsa-Botnia and UPM -- 17 % ,neutral
 95 % of Trainers House 's revenues are attributed to the Finnish market ,neutral
 told reporters in Helsinki ,neutral
The measures taken will cause one-time costs during the final part of 2006 ,neutral
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color ,neutral
 and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding ,neutral
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec ,neutral
829,neutral
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com ,neutral
 players can have as much fun as they would if they were actually fishing ,neutral
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia ,neutral
 Sampo 's stake in Nordea was 19.45 % ,neutral
The group 's net sales in 2007 were EUR683 .6 m,neutral
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide ,neutral
It will report full-year results on August 22 ,neutral
The value of the order is nearly EUR400m ,neutral
 without disclosing financial details ,neutral
400,neutral
 the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland ,neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS ,neutral
 the most important reason for the transaction is Russia ,neutral
 an Austrian with experience in the winter sports goods business ,neutral
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 ,neutral
 Stora Enso said ,neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan ,neutral
 as well as nine pushers and barges ,neutral
 also Proline Plus is CE-IVD marked and comes with a 3-year warranty ,neutral
500 tons of liquid and solid aluminum waste per year ,neutral
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report ,neutral
The net sales of the Power Plants business were EUR 710.3 million in 2005 ,neutral
000 stock options were issued in the 2003 stock option scheme ,neutral
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million ,neutral
218,neutral
It is expected to be completed by the end of 2007 ,neutral
 Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 ,neutral
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights ,neutral
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI ,neutral
 Inc. ,neutral
 please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-ï¿½323-ï¿½6201 USA ,neutral
No service pricing details were disclosed ,neutral
 especially diagnostic tests for cancer ,neutral
 the company said ,neutral
 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place ,neutral
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register ,neutral
 Finland and is scheduled for shipments during the first quarter of 2009 ,neutral
 and each of them has a dedicated team and funds ,neutral
Arena Partners Oy is a development company for electronic business ,neutral
Raisio is the site of the main production plants as well as company headquarters ,neutral
The building will house product development and test laboratories ,neutral
 Kazan and Rostov-on-Don ,neutral
 Finland ,neutral
The share subscription period will expire on 30 September 2007 ,neutral
 an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ,neutral
 who has decided to leave TeliaSonera ,neutral
Union and company officials did not return calls yesterday ,neutral
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format ,neutral
 Estonia and Poland ,neutral
000 tonnes and most of its production is sold to domestic customers ,neutral
 and it consists of design services and hardware and software licences ,neutral
The presentation material can be viewed on the company 's website in English after the conference ,neutral
 southern Finland and has 16 employees ,neutral
 Etteplan had turnover of EUR125 .2 m,neutral
Coffee will be served starting at 14:30 EET as well as after the event ,neutral
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 ,neutral
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations ,neutral
 8 February 2007 ,neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them ,neutral
 Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital ,neutral
The webcast may be followed online on the company website at www.ruukki.com/investors ,neutral
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights ,neutral
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 ,neutral
The shares represented 4.998 % of total share capital and 2.14 % of total voting rights ,neutral
 whereby information can be read and saved remotely ,neutral
 20 pct of which payable in Aspo shares ,neutral
 and SRV Group ,neutral
 and about half of machines are exported ,neutral
Marimekko is considering further measures in the matter ,neutral
The fine print is here ,neutral
`` We are selling an information systems development business to the Finns ,neutral
The enterprise value of Maritim Food AS has been determined as approximately EUR15m ,neutral
The company says the measures are no longer needed ,neutral
 which represents 4.14 % of the shares and voting rights ,neutral
The company expects meat purchases to remain at about 8mn kilos in 2011 ,neutral
 where it already operates a hook manufacturing and distribution unit ,neutral
 and Apetit Fish ,neutral
 and people should get paid for their time . ',neutral
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. ,neutral
 Teterboro and Stewart International ,neutral
 and each of them has a dedicated team ,neutral
A few employees would remain at the Oulu plant in support functions for other group units ,neutral
 systems integration and electronics ,neutral
860,neutral
 local assembly of filters and after market services in China ,neutral
 Eng ,neutral
 life science and real estate funds with approximately EUR2 .6 bn in total capital ,neutral
 Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo ,neutral
 a program which enables mobile software developers to create applications for use across Samsung mobile devices ,neutral
 life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital ,neutral
 and other industries under the Biohit brand ,neutral
0,neutral
 the industry 's starting point has been the consumers ' needs ,neutral
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards ,neutral
The financial details of the acquisition were not disclosed ,neutral
Total value of the contract is about EUR 10mn ,neutral
 and operates in Finland ,neutral
 tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. ,neutral
 it said ,neutral
 in exchange for a stake in the merged RosTelecom ,neutral
 in September 2007 ,neutral
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 ,neutral
 and in power generation using renewable energy ,neutral
 also known as the rubber tree ,neutral
The company 's model is based on developer contracting construction projects and customer focused project management ,neutral
 and is listed on the Nordic Exchange in Helsinki ,neutral
 and Belarus ,neutral
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse ,neutral
 and the coating is ground . ',neutral
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk ,neutral
 central trading companies and major construction firms ,neutral
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT ,neutral
 Ponten Fredrik and Lundberg Jorgen ,neutral
No financial details were revealed ,neutral
 said Talvivaara ,neutral
The new SEPA cads will replace Finnish bank cards ,neutral
 and the remainder to other locations ,neutral
523,neutral
 the group said in a press release ,neutral
 is part of the state program for the formation of technoparks for hi-tech sectors in Russia ,neutral
`` Our aim is to understand different traffic patterns based on the use of each building ,neutral
 blue and red ,neutral
 as well as Market Pulp and Energy ,neutral
 he did not sell shares that he owns personally ,neutral
The project is expected to be completed in 2009 ,neutral
 and at the time of investment it is fully leased to several tenants ,neutral
 Fortitude Valley ,neutral
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 ,neutral
This amount will not be included in the pensionable salary ,neutral
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK ,neutral
The solution will be installed in the USA to support the North American operations of the customer ,neutral
 2009 -ï¿½ Copyright of Globes Publisher Itonut 1983 Ltd. 200,neutral
The total value of the deliveries is some EUR65m ,neutral
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq ,neutral
 Finland have developed novel markings and methods of producing the same ,neutral
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental ,neutral
 mainly in the US and Asia ,neutral
 as well as the rental and sale of modular space ,neutral
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com ,neutral
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook ,neutral
 featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results ,neutral
The Board of Directors was authorized to decide on other terms of the share issue ,neutral
Financial details were n't disclosed ,neutral
 Alpro 's price would be around EUR 100mn-150mn ,neutral
Terms of the acquisition were not disclosed ,neutral
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 ,neutral
 modules and other industrial segment products ,neutral
 who wants to impress people with the latest handset ,neutral
 Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights ,neutral
The investment will be worth approximately EUR 100mn ,neutral
 '' UPM said ,neutral
000 short tons ) in coated fine paper ,neutral
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices ,neutral
2010,neutral
 China ,neutral
 in the eastern part of India ,neutral
 mascara and accessories ,neutral
Terms were not disclosed ,neutral
000 vehicles ,neutral
 as well as catering and households ,neutral
A huge issue for us is the button placement ,neutral
 Credit Agricole SA ( EPA : ACA ) ( CAGR ,neutral
 the contract includes modification of the effluent treatment plant at Follum ,neutral
New Novator products are supposed to be exported ,neutral
The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 ,neutral
 tel. +358 9 591 8342 ,neutral
Investments are not disclosed ,neutral
100 employees were transferred to Renesas Electronics Corporation ,neutral
2009,neutral
 Ivory Coast and the delivery is scheduled to start in March 2010 ,neutral
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries ,neutral
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu ,neutral
 mobile +358 400 817198 e-mail eila ,neutral
 '' wrote Trend Micro 's Rik Ferguson on Monday ,neutral
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry ,neutral
 net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece ,neutral
The business section also includes Ahlstrom 's sustainability report ,neutral
350 people ,neutral
 accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights ,neutral
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones ,neutral
700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents ,neutral
Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 ,neutral
com and possibly also through photo-msn ,neutral
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland ,neutral
The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line ,neutral
 forestry and infrastructure & environment sectors ,neutral
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 ,neutral
 tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis ,neutral
 Espoo and Vantaa ,neutral
The corrected chapter is in its entirety below ,neutral
Basware finances the acquisition with a bank loan ,neutral
 and brief profiles of other major players ,neutral
Production is scheduled to start by the end of April 2007 ,neutral
The plant will collect raw material from the Baltic Sea region ,neutral
000 tonnes of pulp per year ,neutral
600 tons of alumina per day ,neutral
 Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities ,neutral
The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 ,neutral
Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman ,neutral
 as well as rental and sale of modular space ,neutral
 as well as service work of the shoe press delivered by Vaahto in 2001 ,neutral
 accounting for a share of 31.4 % ,neutral
 chairman of the supervisory board of +ï¿½lemiste City and Mainor ,neutral
19 per cent of the share capital and voting rights ,neutral
 will hold onto the 25 % stake for now ,neutral
The contract has been allotted as per lowest price criteria ,neutral
 has been elected chairman of the Defense Credit Union Council for the 2007-2008 term ,neutral
Autotank Group is part of Aspo 's Systems Division ,neutral
 on the `` Webcast & Presentations '' tab ,neutral
This includes a EUR 39.5 mn change in the fair value of investment properties ,neutral
 the daily said ,neutral
RSA 's shares closed at 156.9 p at the time of going to press ,neutral
 Fridays and Sundays ,neutral
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 ,neutral
The orders also include a few high-power drives for the control of seismic compressors ,neutral
 MMS and WAP ,neutral
 the 120-meter Watchtower will be the highest building in Ireland ,neutral
 the company added ,neutral
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe ,neutral
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply ,neutral
 Lutterworth ,neutral
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter ,neutral
The arrangements do not apply to the group 's units outside Finland ,neutral
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland ,neutral
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki ,neutral
The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District ,neutral
 traffic and industry ,neutral
500 of its B series shares to key staff members for EUR2 .9 per share ,neutral
000 tonnes ,neutral
 EUR 26.2 million ,neutral
The combined value of the planned investments is about EUR 30mn ,neutral
 SokoPro project bank and courier services ,neutral
000 people in 54 manufacturing units and several sales offices in 33 countries ,neutral
The transaction is expected to be finalized by Dec 2009 ,neutral
 Kentucky and Ohio ,neutral
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) ,neutral
The order was valued at over EUR15m ,neutral
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic ,neutral
GyPSii service supports ten different languages including Korean and Russian ,neutral
 while Cayman Islands-based Garmin is larger in the U.S. and overall ,neutral
 will be separated into a new reporting segment as of 1 January 2009 ,neutral
 and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees ,neutral
The dividends payable annually shall be deducted from the share subscription price ,neutral
 as well as sales units in Germany and Lithuania ,neutral
 would manufacture tools meant for glass and stone pre-processing ,neutral
After 1 April 2007 Cencorp will not have any own employees in the territory ,neutral
 Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros ,neutral
 Section 9 of the Finnish Securities Markets Act is described below ,neutral
Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn ,neutral
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m ,neutral
 the company added ,neutral
687.15 pts ,neutral
000 square meters ,neutral
 and microwave systems ,neutral
 the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement ,neutral
 and reel ,neutral
The site will cover over six hectares ,neutral
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million ,neutral
 as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors ,neutral
 customer responsibilities will become mainly regional ,neutral
 although that is where the company is growing ,neutral
 the color orange has become synonymous with quality ,neutral
Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations ,neutral
 installation and commissioning ,neutral
The sale price was not disclosed ,neutral
Aspo 's Group structure and business operations are continually developed without any predefined schedules ,neutral
 '' EBRD informed ,neutral
 which represent 3.582 % of Tekla -ï¿½ s shares and voting rights ,neutral
 ' he said ,neutral
200-square metre technology center is located near University of Tampere in central Tampere ,neutral
 maintenance and support ,neutral
000 tonnes a day ,neutral
2007,neutral
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website ,neutral
 cabin and information management solutions for business aircraft operators ,neutral
445 employees ,neutral
 feature navigability and multi-modal routing such as via foot and ferry ,neutral
 as compared to the corresponding quarter in 2006 ,positive
 grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 ,positive
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 ,positive
 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR ,positive
 a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ,positive
 Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group ,positive
 Brazil ,positive
 has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland ,positive
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year ,positive
The bank sees a potential for Getinge share to rise ,positive
 from  x20ac 569 million ,positive
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) ,positive
 and will fasten the planning and building processes ,positive
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 ,positive
 rebounding from yesterday s 3.5 percent slide ,positive
 an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 ,positive
 Morocco and Ireland ,positive
 up from the EUR0 .08 per share paid in 2009 ,positive
 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian t,positive
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 ,positive
 as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters ,positive
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 ,positive
 Russia ,positive
 Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ,positive
Clothing chain Sepp+ï¿½l+ï¿½ 's net sales increased by 7.0 % to EUR 30.8 mn ,positive
Finnish Outokumpu Technology has been awarded several new grinding technology contracts ,positive
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % ,positive
 Atria said ,positive
Both the net sales and operating profit were record high in the company 's history ,positive
` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC ,positive
